name,use
Microscope,Magnifies small objects for observation
Telescope,Views distant celestial objects clearly
Thermometer,Measures temperature of substances accurately
Calculator,Performs mathematical calculations quickly
Printer,Produces physical copies from documents
Computer,Processes data and stores information
Refrigerator,Keeps food fresh and cold
Microwave,Heats food quickly and efficiently
Vacuum,Cleans floors and carpets thoroughly
Washing Machine,Cleans clothes with water effectively
Bicycle,Provides transportation using human power
Stove,Cooks food using heat energy
Blender,Mixes ingredients into smooth consistency
Camera,Captures images and records videos
Ladder,Helps reach high places safely
Drill,Creates holes in various materials
Hammer,Drives nails into wood or metal
Saw,Cuts through wood and other materials
Wrench,Tightens or loosens nuts and bolts
Screwdriver,Turns screws to fasten or loosen
Flashlight,Provides portable light in dark areas
Generator,Converts mechanical energy into electrical power
Air Conditioner,Cools and dehumidifies indoor air
Heater,Provides warmth to indoor spaces
Toaster,Browns bread slices using radiant heat
Coffee Maker,Brews coffee automatically
Dishwasher,Cleans dishes and cutlery automatically
Iron,Removes wrinkles from fabric using heat
Sewing Machine,Stitches fabric and materials together
Lawn Mower,Cuts grass to a uniform height
Leaf Blower,Moves fallen leaves and debris
Pressure Washer,Cleans surfaces with high-pressure water
Soldering Iron,Joins metal parts using solder
Multimeter,Measures electrical voltage and resistance
Oscilloscope,Visualizes electrical signal voltages
Projector,Displays images or videos on screens
Scanner,Converts physical documents into digital files
Router,Directs data packets between computer networks
Modem,Connects devices to the internet
Scale,Measures the weight or mass of objects
Compass,Determines geographic direction
Protractor,Measures angles in degrees
Level,Indicates if a surface is horizontal
Tape Measure,Measures lengths and distances
Microphone,Converts sound waves into electrical signals
Speaker,Converts electrical signals into sound
Headphones,Allows private listening to audio
Clock,Measures and displays the time
Watch,Portable device for keeping time
Television,Displays video and audio content
Radio,Receives and broadcasts audio signals
Telephone,Enables voice communication remotely
Mobile Phone,Connects people using wireless networks
Keyboard,Provides input for computers
Mouse,Controls cursor and input device
Monitor,Displays visual information to users
Laptop,Portable computer for various tasks
Tablet,Touchscreen device for computing
USB Drive,Stores and transfers digital files
Hard Drive,Stores large amounts of data
Power Supply,Converts electrical current for devices
Battery,Provides portable electrical energy
Charger,Restores energy to batteries
Fan,Circulates air in the room
Humidifier,Adds moisture to dry air
Dehumidifier,Removes excess moisture from air
Water Pump,Moves water through piping systems
Oil Pump,Extracts and transfers oil fluids
Air Compressor,Pressurizes and stores compressed air
Vacuum Pump,Creates vacuum or reduces pressure
Boiler,Heats water for various purposes
Furnace,Provides central heating for buildings
Thermostat,Controls temperature in rooms automatically
Smoke Detector,Alerts to presence of smoke
Fire Extinguisher,Suppresses fires with chemical agents
Sprinkler System,Waters plants and grass areas
Timer,Measures and tracks elapsed time
Stopwatch,Records running time intervals accurately
Alarm Clock,Wakes people at set times
Calendar,Tracks dates and schedules events
Safe,Secures valuables and important items
Lock,Prevents unauthorized access to items
Key,Opens locked doors and containers
Padlock,Provides portable locking mechanisms
Hinge,Allows doors and gates to rotate
Knob,Enables opening and closing mechanisms
Switch,Controls electrical devices and lighting
Button,Activates functions in machines
Lever,Provides mechanical advantage for tasks
Pulley,Changes direction of force application
Wheel,Enables smooth rolling motion
Axle,Supports rotating wheel and shaft
Gear,Transfers motion between rotating parts
Chain,Transmits power between sprockets
Belt,Transfers power smoothly without slipping
Motor,Converts electrical energy into motion
Compressor,Reduces volume and pressurizes gases
Turbine,Generates power from fluid flow
Pump,Moves liquids using mechanical action
Valve,Controls flow of liquids or gases
Filter,Removes particles from air or liquid
Separator,Divides materials into different components
Grinder,Crushes or grinds material into powder
Mixer,Combines multiple ingredients thoroughly
Chopper,Cuts food into small uniform pieces
Slicer,Cuts food into thin pieces
Peeler,Removes outer skin from vegetables
Grater,Reduces foods into small shreds
Colander,Drains water from pasta or vegetables
Strainer,Separates solids from liquids
Whisk,Incorporates air into mixture
Spatula,Flips or turns food during cooking
Ladle,Serves liquids or soups
Tongs,Grasps and moves food items
Fork,Eats food and pierces items
Spoon,Eats and serves liquid foods
Knife,Cuts food into smaller pieces
Cutting Board,Provides surface for cutting food
Pot,Boils and cooks large quantities
Pan,Fries or sautees food items
Skillet,Cooks food using dry heat
Baking Sheet,Holds food for oven cooking
Cake Pan,Bakes cakes and brownies
Loaf Pan,Bakes bread and pound cake
Measuring Cup,Measures volume of ingredients
Measuring Spoon,Measures small amounts precisely
Mixing Bowl,Combines and mixes ingredients
Straining Bowl,Drains vegetables and pasta
Basting Brush,Applies liquids to cooking food
Meat Thermometer,Measures internal temperature of meat
Oven Mitts,Protects hands from heat
Apron,Protects clothing while cooking
Towel,Dries hands and dishes
Sponge,Cleans dishes and surfaces
Brush,Scrubs surfaces and dishes
Mop,Cleans floor surfaces thoroughly
Broom,Sweeps dirt from floors
Dustpan,Collects swept dust and debris
Garbage Can,Stores waste and trash
Compost Bin,Decomposes organic waste material
Recycling Bin,Separates recyclable waste materials
Hose,Delivers water to plants
Sprinkler,Waters grass and gardens
Watering Can,Carries and pours water
Rake,Gathers leaves and debris
Shovel,Digs and moves soil
Spade,Digs and turns garden soil
Hoe,Removes weeds and tills soil
Wheelbarrow,Transports soil and materials
Garden Fork,Loosens and turns soil
Pruning Shears,Cuts branches and flowers
Hedge Trimmer,Shapes hedges and bushes
Edger,Creates clean borders for gardens
Tiller,Prepares soil for planting
Post Hole Digger,Creates holes for fence posts
Mattock,Breaks up hard ground
Pickaxe,Breaks through rock surfaces
Crowbar,Pries and removes nailed items
Pry Bar,Loosens stuck items and parts
Chisel,Cuts wood and stone
Plane,Smooths wood surfaces
Sandpaper,Smooths and polishes surfaces
File,Smooths metal edges
Rasp,Removes material from wood
Clamp,Holds objects firmly together
Vise,Secures work during machining
Jack,Lifts heavy vehicles or objects
Ratchet,Drives fasteners with square drive
Socket,Holds fasteners during fastening
Nut,Fastens to bolts securely
Bolt,Fastens materials together with nuts
Screw,Fastens materials without nuts
Nail,Fastens materials through hammering
Rivet,Permanently fastens metal sheets
Washer,Distributes fastener load evenly
Anchor,Secures fasteners in hollow walls
Stud Finder,Locates wood studs behind walls
Stud Gun,Drives fasteners into hard materials
Impact Driver,Delivers rotational force for fastening
Angle Grinder,Cuts and grinds metal surfaces
Circular Saw,Cuts wood with rotating blade
Band Saw,Cuts curved and straight lines
Table Saw,Makes precise cuts in wood
Miter Saw,Cuts angled joints accurately
Reciprocating Saw,Cuts back and forth motion
Jigsaw,Cuts intricate curved patterns
Impact Wrench,Tightens fasteners with high force
Orbital Sander,Smooths surfaces with circular motion
Belt Sander,Smooths large wood areas quickly
Brad Nailer,Drives small brad nails
Finish Nailer,Drives finish nails neatly
Framing Nailer,Drives large framing nails quickly
Staple Gun,Drives staples into wood
Nail Gun,Drives various nails automatically
Caulking Gun,Applies caulk and sealant
Grease Gun,Applies lubricating grease to machinery
Paint Roller,Applies paint to large surfaces
Paint Brush,Applies paint to detailed areas
Paint Sprayer,Sprays paint evenly on surfaces
Wallpaper Brush,Smooths wallpaper during installation
Drywall Taping Knife,Applies compound to joints
Putty Knife,Scrapes and smooths surfaces
Caulk Smoother,Smooths caulk after application